REP,NCLUSTERS,NSAMPLES,NMUTS,TAU,H2,PRIOR,COV,LIK,ARI,AMI,FMI,RMSE
1,2,3,100,1,20,GP0,Mat32,BBin,1.0,1.0,1.0,2.2010230422712618
1,2,3,100,1,20,GP0,Mat52,Bin,1.0,1.0,1.0,2.1977081954944784
1,2,3,100,1,20,GP0,Mat52,BBin,1.0,1.0,1.0,2.2003809267299594
1,2,3,100,1,20,GP0,ExpQ,Bin,1.0,1.0,1.0,2.201540814798814
1,2,3,100,1,20,GP0,ExpQ,BBin,1.0,1.0,1.0,2.1995875431714165
1,2,3,100,10,1,Flat,Exp,Bin,1.0,1.0,1.0,1.5496868661332615
1,2,3,100,10,1,Flat,Exp,BBin,1.0,1.0,1.0,1.5463087792867753
1,2,3,100,10,1,GP0,Exp,Bin,1.0,1.0,1.0,1.550679445774871
1,2,3,100,10,1,GP0,Exp,BBin,1.0,1.0,1.0,1.5514843552541648
1,2,3,100,10,1,GP0,Mat32,Bin,1.0,1.0,1.0,1.5470007494440634
1,2,3,100,10,1,GP0,Mat32,BBin,1.0,1.0,1.0,1.5518589447280635
1,2,3,100,10,1,GP0,Mat52,Bin,1.0,1.0,1.0,1.5460667867691622
1,2,3,100,10,1,GP0,Mat52,BBin,1.0,1.0,1.0,1.546713451130652
1,2,3,100,10,1,GP0,ExpQ,Bin,1.0,1.0,1.0,1.5457496461578546
1,2,3,100,10,1,GP0,ExpQ,BBin,1.0,1.0,1.0,1.5522980735819245
1,2,3,100,10,10,Flat,Exp,Bin,1.0,1.0,1.0,3.8332129099288927
1,2,3,100,10,10,Flat,Exp,BBin,1.0,1.0,1.0,3.82242074107277
1,2,3,100,10,10,GP0,Exp,Bin,1.0,1.0,1.0,3.830192686916437
1,2,3,100,10,10,GP0,Exp,BBin,1.0,1.0,1.0,3.8278517549355557
1,2,3,100,10,10,GP0,Mat32,Bin,1.0,1.0,1.0,3.8232562063549764
1,2,3,100,10,10,GP0,Mat32,BBin,1.0,1.0,1.0,3.818452591397621
1,2,3,100,10,10,GP0,Mat52,Bin,1.0,1.0,1.0,3.8167821377151476
1,2,3,100,10,10,GP0,Mat52,BBin,1.0,1.0,1.0,3.8281746537204078
1,2,3,100,10,10,GP0,ExpQ,Bin,1.0,1.0,1.0,3.8262134763003575
1,2,3,100,10,10,GP0,ExpQ,BBin,1.0,1.0,1.0,3.8242756993175893
1,2,3,100,10,20,Flat,Exp,Bin,1.0,1.0,1.0,3.926010258234569
1,2,3,100,10,20,Flat,Exp,BBin,1.0,1.0,1.0,3.922856075036731
1,2,3,100,10,20,GP0,Exp,Bin,1.0,1.0,1.0,3.9240471263986434
1,2,3,100,10,20,GP0,Exp,BBin,1.0,1.0,1.0,3.933424567689679
1,2,3,100,10,20,GP0,Mat32,Bin,1.0,1.0,1.0,3.924679604991785
1,2,3,100,10,20,GP0,Mat32,BBin,1.0,1.0,1.0,3.922258753953064
1,2,3,100,10,20,GP0,Mat52,Bin,1.0,1.0,1.0,3.929728855595294
1,2,3,100,10,20,GP0,Mat52,BBin,1.0,1.0,1.0,3.9258602343327285
1,2,3,100,10,20,GP0,ExpQ,Bin,1.0,1.0,1.0,3.920661289743713
1,2,3,100,10,20,GP0,ExpQ,BBin,1.0,1.0,1.0,3.9316790267421355
1,2,3,100,100,1,Flat,Exp,Bin,1.0,1.0,1.0,0.751138272920129
1,2,3,100,100,1,Flat,Exp,BBin,1.0,1.0,1.0,0.7502926368117299
1,2,3,100,100,1,GP0,Exp,Bin,1.0,1.0,1.0,0.7501505301114654
1,2,3,100,100,1,GP0,Exp,BBin,1.0,1.0,1.0,0.7539216861393041
1,2,3,100,100,1,GP0,Mat32,Bin,1.0,1.0,1.0,0.752892424814574
1,2,3,100,100,1,GP0,Mat32,BBin,1.0,1.0,1.0,0.7507304080027999
1,2,3,100,100,1,GP0,Mat52,Bin,1.0,1.0,1.0,0.7513256250570202
1,2,3,100,100,1,GP0,Mat52,BBin,1.0,1.0,1.0,0.7458605698419027
1,2,3,100,100,1,GP0,ExpQ,Bin,1.0,1.0,1.0,0.7527506275422251
1,2,3,100,100,1,GP0,ExpQ,BBin,1.0,1.0,1.0,0.7530722518958411
1,2,3,100,100,10,Flat,Exp,Bin,1.0,1.0,1.0,1.9942995505648493
1,2,3,100,100,10,Flat,Exp,BBin,0.0,5.075751545926813e-15,0.7105269064915732,1.5327436283166331
1,2,3,100,100,10,GP0,Exp,Bin,1.0,1.0,1.0,1.996451076779497
1,2,3,100,100,10,GP0,Exp,BBin,0.0,5.075751545926813e-15,0.7105269064915732,1.5291009421382094
1,2,3,100,100,10,GP0,Mat32,Bin,1.0,1.0,1.0,1.9943568444937596
1,2,3,100,100,10,GP0,Mat32,BBin,0.0,5.075751545926813e-15,0.7105269064915732,1.533196507479414
1,2,3,100,100,10,GP0,Mat52,Bin,1.0,1.0,1.0,2.0017572312181953
1,2,3,100,100,10,GP0,Mat52,BBin,0.0,5.075751545926813e-15,0.7105269064915732,1.5302637709474387
1,2,3,100,100,10,GP0,ExpQ,Bin,1.0,1.0,1.0,1.9974385220326187
1,2,3,100,100,10,GP0,ExpQ,BBin,0.0,5.075751545926813e-15,0.7105269064915732,1.5339826821621305
1,2,3,100,100,20,Flat,Exp,Bin,1.0,1.0,1.0,6.815798414517189
1,2,3,100,100,20,Flat,Exp,BBin,1.0,1.0,1.0,6.823516332727113
1,2,3,100,100,20,GP0,Exp,Bin,1.0,1.0,1.0,6.842272798330429
1,2,3,100,100,20,GP0,Exp,BBin,1.0,1.0,1.0,6.806117220092008
1,2,3,100,100,20,GP0,Mat32,Bin,1.0,1.0,1.0,6.842300364656893
1,2,3,100,100,20,GP0,Mat32,BBin,0.0,0.0,0.7058199615920608,5.552886898021309
1,2,3,100,100,20,GP0,Mat52,Bin,1.0,1.0,1.0,6.830289241333096
1,2,3,100,100,20,GP0,Mat52,BBin,1.0,1.0,1.0,6.8015517963024745
1,2,3,100,100,20,GP0,ExpQ,Bin,1.0,1.0,1.0,6.835059799411727
1,2,3,100,100,20,GP0,ExpQ,BBin,1.0,1.0,1.0,6.7888839614105265
1,2,6,25,1,1,Flat,Exp,Bin,1.0,1.0,1.0,1.0506050394474276
1,2,6,25,1,1,Flat,Exp,BBin,0.0,-6.474266166693293e-16,0.697614984548545,0.8860062077162542
1,2,6,25,1,1,GP0,Exp,Bin,1.0,1.0,1.0,1.0471048835666261
1,2,6,25,1,1,GP0,Exp,BBin,1.0,1.0,1.0,1.0576019392361076
1,2,6,25,1,1,GP0,Mat32,Bin,1.0,1.0,1.0,1.046560769050049
1,2,6,25,1,1,GP0,Mat32,BBin,1.0,1.0,1.0,1.055196472877262
1,2,6,25,1,1,GP0,Mat52,Bin,1.0,1.0,1.0,1.0520652155494963
1,2,6,25,1,1,GP0,Mat52,BBin,1.0,1.0,1.0,1.0574568553996033
1,2,6,25,1,1,GP0,ExpQ,Bin,1.0,1.0,1.0,1.0532158387359922
1,2,6,25,1,1,GP0,ExpQ,BBin,1.0,1.0,1.0,1.0504606537038843
